"PID","Status","Progress","Duration..in.seconds.","Finished","consent","zs_class_1","zs_class_2","zs_class_3","SDO_1","SDO_2","SDO_3","SDO_4","SDO_5","SDO_6","SDO_7","SDO_8","zsm_1","zsm_2","zsm_3","zsm_4","zsm_5","zsm_6","zsm_7","check_1","soli_1","soli_2","soli_3","soli_4","soli_5","soli_6","lnktfate","support","impact_groups_1","impact_groups_2","impact_groups_DO_1","impact_groups_DO_2","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","ideo_DO_1","ideo_DO_2","ideo_DO_3","ideo_DO_4","ideo_DO_5","vote_2024_6_TEXT","age","gender_.99_TEXT","race_8_TEXT","class_7_TEXT","feedback","policy","FL_57_DO_FL_58","FL_57_DO_FL_59","FL_57_DO_FL_60","FL_57_DO_FL_61","FL_57_DO_FL_62","FL_57_DO_FL_63","FL_64_DO_FL_65","FL_64_DO_FL_74","FL_65_DO_Zero.sum.class","FL_65_DO_SDO","FL_65_DO_Zero.summindset","FL_65_DO_ClassSolidarity","FL_65_DO_LinkedFate","Zero.sum.class_DO_zs_class_1","Zero.sum.class_DO_intro","Zero.sum.class_DO_zs_class_3","Zero.sum.class_DO_zs_class_2","SDO_DO_intro","SDO_DO_SDO_1","SDO_DO_SDO_2","SDO_DO_SDO_3","SDO_DO_SDO_4","SDO_DO_SDO_5","SDO_DO_SDO_6","SDO_DO_SDO_7","SDO_DO_SDO_8","Zero.summindset_DO_intro","Zero.summindset_DO_zsm_4","Zero.summindset_DO_zsm_1","Zero.summindset_DO_zsm_5","Zero.summindset_DO_zsm_6","Zero.summindset_DO_check_1","Zero.summindset_DO_zsm_7","Zero.summindset_DO_zsm_2","Zero.summindset_DO_zsm_3","ClassSolidarity_DO_soli_6","ClassSolidarity_DO_intro","ClassSolidarity_DO_soli_4","ClassSolidarity_DO_soli_2","ClassSolidarity_DO_soli_5","ClassSolidarity_DO_soli_1","ClassSolidarity_DO_soli_3","Support.impact_DO_support","Support.impact_DO_impact_groups","party_id","vote_2020","vote_2024","gender","class","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"WY157ph","0","100","184","1","1","2","2","7","3","3","7","1","7","7","5","4","2","2","2","4","6","1","6","5","4","5","4","5","6","4","5","2","0","-1","2","1","6","4","1","5","1","2","1","4","5","3","","34","","","","None","minwage","1","","","","","","2","1","4","5","1","2","3","4","1","3","2","1","2","9","5","3","4","6","8","7","1","6","5","7","2","4","9","3","8","7","1","5","3","6","4","2","2","1","Republican","Donald Trump","Donald Trump","man","Middle Class","White","","","","","","","","$80,001-$100,000","PHD"
"RQ239ze","0","100","161","1","1","6","5","2","2","2","6","7","2","2","6","7","4","4","3","4","4","4","4","5","5","5","5","5","5","5","5","6","2","0","2","1","1","7","5","5","5","2","1","5","3","4","","23","","","","","health","","","","","1","","1","2","3","1","4","5","2","3","1","2","4","1","3","7","4","6","8","5","9","2","1","6","8","7","5","2","4","3","9","2","1","5","3","7","6","4","2","1","Democrat","I did not vote","Jill Stein","woman","Lower Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"HP700yz","0","100","187","1","1","7","5","1","1","1","7","7","1","1","7","7","1","1","2","2","7","1","5","5","7","6","6","6","7","6","6","7","3","0","2","1","1","6","7","1","7","1","4","5","2","3","","43","","","","thank you for the study. ","housing","","","","1","","","1","2","3","5","4","1","2","3","1","2","4","1","9","2","5","8","6","7","4","3","1","2","5","4","6","7","9","8","3","6","1","4","3","2","5","7","2","1","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","MA"
"PQ346ge","0","100","180","1","1","7","7","1","1","1","7","7","1","1","7","7","4","1","1","4","4","1","7","5","7","7","7","7","7","7","5","7","1","0","1","2","3","5","7","6","","4","1","5","3","2","","29","","","","","minwage","1","","","","","","1","2","3","4","5","2","1","3","1","2","4","1","6","7","9","5","4","3","8","2","1","8","2","4","3","9","5","7","6","5","1","3","4","6","7","2","2","1","Independent","Joe Biden","I will not vote","woman","Lower Middle Class","","","Black or African American","","","","","","$20,001-$40,000","MA"
"UX891dl","0","100","180","1","1","7","7","2","5","3","5","6","5","3","4","6","7","7","6","5","3","7","3","5","7","7","7","7","7","7","7","3","1","-1","1","2","4","1","1","1","1","3","2","4","1","5","","35","","","","","housing","","","","1","","","2","1","5","4","3","1","2","2","1","4","3","1","4","8","6","5","9","3","7","2","1","5","3","8","9","7","6","4","2","7","1","3","5","2","6","4","2","1","Republican","Donald Trump","Donald Trump","woman","Middle Class","White","","","","","","","","$60,001-$80,000","4yearColl"
"CL634lt","0","100","208","1","1","1","1","7","2","3","7","6","1","2","7","7","1","1","1","4","7","1","7","5","7","7","7","7","7","7","7","6","3","0","2","1","6","5","","","","5","2","3","4","1","","46","","","","none","health","","","","","1","","2","1","2","3","1","4","5","3","1","4","2","1","7","9","2","5","4","8","3","6","1","5","8","9","2","4","6","3","7","4","1","2","6","5","3","7","2","1","Republican","Donald Trump","Donald Trump","woman","Middle Class","White","","","","","","","","$60,001-$80,000","4yearColl"
"WW880mo","0","100","212","1","1","3","3","5","5","3","3","5","7","7","1","2","3","3","3","4","5","3","6","5","5","5","4","5","5","4","4","2","-2","-1","1","2","7","1","1","4","1","4","2","1","3","5","","51","","","","","housing","","","","1","","","2","1","2","4","1","3","5","4","1","2","3","1","8","9","4","6","3","5","2","7","1","5","6","7","4","2","8","9","3","6","1","2","3","7","4","5","1","2","Republican","I did not vote","Donald Trump","woman","Working Class","White","","","","","","","","$20,001-$40,000","4yearColl"
"IE501xn","0","100","176","1","1","5","5","2","2","2","7","7","7","1","7","7","3","3","2","4","5","3","5","5","5","6","6","6","6","6","5","6","2","0","1","2","1","7","6","1","4","2","3","1","4","5","","45","","","","","housing","","","","1","","","2","1","1","3","4","2","5","2","1","4","3","1","3","5","8","6","4","7","9","2","1","7","3","2","5","6","8","4","9","2","1","4","3","5","6","7","2","1","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$60,001-$80,000","MA"
"EC969vb","0","100","208","1","1","6","6","2","1","1","7","6","5","4","6","7","4","1","2","5","7","1","4","5","6","7","7","6","6","6","7","7","2","2","2","1","3","5","2","4","6","3","2","5","4","1","","31","","","","","weed","","","","","","1","2","1","1","2","4","3","5","4","1","2","3","1","2","3","5","9","7","8","4","6","1","9","5","8","3","4","7","2","6","3","1","2","4","6","7","5","2","1","Democrat","Joe Biden","Joe Biden","man","Working Class","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","4yearColl"
"LF043vx","0","100","180","1","1","5","5","5","5","5","4","3","5","5","4","7","5","6","5","6","5","6","3","5","3","5","3","5","5","5","5","5","1","1","1","2","3","2","1","6","5","3","1","2","5","4","","30","","","","","health","","","","","1","","1","2","2","1","5","3","4","2","1","4","3","1","2","3","9","7","4","5","8","6","1","7","9","5","2","4","6","3","8","6","1","3","5","4","7","2","2","1","Republican","Joe Biden","Donald Trump","man","Middle Class","","","","Asian","","","","","$20,001-$40,000","4yearColl"
"BO178ch","0","100","166","1","1","7","7","1","6","5","6","3","3","3","5","6","2","2","2","3","7","2","6","5","2","5","5","6","6","6","5","7","3","0","2","1","3","6","5","2","5","4","1","2","3","5","","43","","","","","debt","","1","","","","","2","1","2","1","3","5","4","4","1","2","3","1","4","7","2","3","5","8","9","6","1","5","9","8","2","6","3","4","7","6","1","2","4","7","5","3","2","1","Democrat","Joe Biden","Joe Biden","man","Middle Class","","","","Asian","","","","","$140,001-$160,000","4yearColl"
"PN184rs","0","100","178","1","1","5","4","3","4","2","5","5","3","2","5","5","3","3","3","3","5","3","5","5","5","6","6","6","4","5","5","1","-2","1","1","2","4","1","4","4","4","2","5","1","4","3","","41","","","","","climate","","","1","","","","1","2","4","2","5","3","1","4","1","3","2","1","2","9","6","3","7","5","4","8","1","5","4","9","6","7","8","2","3","3","1","4","7","2","6","5","2","1","Independent","I did not vote","I will not vote","woman","Middle Class","White","","","","","","","","$60,001-$80,000","2yearColl"
"TE509bt","0","100","216","1","1","5","4","2","3","2","6","6","2","2","6","6","2","3","2","2","5","2","6","5","6","6","6","6","6","6","5","5","1","-2","1","2","1","2","5","2","1","5","3","1","2","4","","39","","","","thank you","weed","","","","","","1","2","1","2","5","1","4","3","4","1","2","3","1","9","7","5","4","8","6","3","2","1","5","2","4","8","3","9","7","6","4","1","5","7","3","6","2","1","2","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$100,001-$120,000","2yearColl"
"CS533cl","0","100","140","1","1","5","5","3","4","3","4","5","5","5","4","4","3","3","3","3","3","3","5","5","5","5","4","5","5","3","4","5","1","0","2","1","4","2","2","4","4","1","2","5","4","3","","62","","","","","housing","","","","1","","","1","2","4","3","1","5","2","4","1","3","2","1","7","8","5","9","3","2","4","6","1","3","5","6","2","9","7","8","4","2","1","4","7","6","5","3","2","1","Independent","Donald Trump","Robert F. Kennedy Jr.","woman","Middle Class","White","","","","","","","","$120,001-$140,000","MA"
"DC374rp","0","100","143","1","1","1","1","7","7","7","1","1","7","7","1","1","2","3","5","2","6","4","5","5","3","2","1","2","4","2","4","1","0","0","2","1","7","2","1","7","1","3","4","5","2","1","","26","","","","Thank you.","debt","","1","","","","","2","1","3","5","4","2","1","3","1","2","4","1","3","4","9","8","7","2","6","5","1","3","2","8","4","9","7","6","5","5","1","7","4","2","3","6","2","1","Independent","Donald Trump","Donald Trump","man","Middle Class","White","","","","","","","","$60,001-$80,000","4yearColl"
"CF777yk","0","100","164","1","1","5","5","4","3","3","5","5","3","4","5","6","5","5","4","4","3","4","3","5","5","5","5","6","5","5","6","5","2","0","1","2","","","3","","","5","2","1","3","4","","27","","","","","housing","","","","1","","","2","1","1","5","4","2","3","2","1","4","3","1","7","8","3","9","4","6","5","2","1","4","6","3","9","8","2","5","7","3","1","7","4","5","6","2","1","2","Independent","Joe Biden","Joe Biden","man","Working Class","","","","Asian","","","","","$60,001-$80,000","4yearColl"
"KO857tf","0","100","200","1","1","3","3","5","5","5","5","5","5","5","5","5","5","5","3","5","3","5","5","5","6","6","6","6","6","6","6","3","1","-1","1","2","5","","","","","3","2","4","1","5","","27","","","","","minwage","1","","","","","","1","2","4","3","5","1","2","4","1","3","2","1","9","8","4","3","7","5","6","2","1","2","3","8","4","7","6","9","5","6","1","2","5","4","7","3","1","2","Republican","Donald Trump","Donald Trump","woman","Lower Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"HR550af","0","100","214","1","1","5","3","2","5","5","5","7","3","2","5","5","3","5","2","3","5","5","6","5","6","6","6","6","7","6","6","6","1","2","2","1","3","4","","","","2","1","5","3","4","Undecided at this time","22","","","","Have a nice day!","housing","","","","1","","","1","2","1","5","3","2","4","2","1","4","3","1","6","2","8","9","3","4","5","7","1","2","8","9","7","5","4","3","6","2","1","3","5","4","7","6","2","1","Independent","Donald Trump","Other","woman","Middle Class","White","","","","","","","","$80,001-$100,000","GED"
"OX647sq","0","100","206","1","1","5","4","4","1","1","7","7","1","1","7","7","3","3","2","4","5","3","5","5","7","7","7","7","7","7","6","7","3","0","1","2","1","6","7","2","7","4","3","1","5","2","","37","","","","","minwage","1","","","","","","1","2","4","5","1","2","3","3","1","4","2","1","5","8","4","7","9","2","6","3","1","4","6","8","9","3","5","2","7","7","1","6","4","3","5","2","2","1","Democrat","Joe Biden","Joe Biden","woman","Working Class","","","Black or African American","","","","","","$20,001-$40,000","4yearColl"
"AG424tr","0","100","206","1","1","4","4","4","2","2","7","7","1","7","1","7","1","1","1","4","7","1","7","5","5","4","5","5","6","5","7","4","1","0","2","1","5","1","1","7","1","1","2","3","4","5","","60","","","","","housing","","","","1","","","1","2","3","4","5","2","1","2","1","4","3","1","7","5","8","2","3","9","6","4","1","5","3","2","9","7","6","8","4","5","1","6","4","7","3","2","1","2","Independent","Donald Trump","Donald Trump","woman","Upper Middle Class","White","","","","","","","","$140,001-$160,000","4yearColl"
"DW479xi","0","100","215","1","1","4","3","4","3","4","5","4","5","4","5","5","3","3","3","3","5","3","5","5","5","5","5","5","5","5","5","4","1","0","2","1","","","","","","1","3","4","5","2","","61","","","","","weed","","","","","","1","2","1","3","2","4","5","1","3","1","2","4","1","4","7","6","5","8","9","2","3","1","6","3","9","7","2","8","5","4","7","1","4","2","6","5","3","1","2","Independent","I did not vote","Other","woman","Middle Class","White","","","","","","","","Prefer not to answer","4yearColl"
"HT680ou","0","100","185","1","1","7","6","2","1","1","7","7","1","1","7","7","1","1","1","2","7","1","7","5","7","7","7","7","6","6","7","7","3","0","1","2","1","5","4","2","6","4","1","2","5","3","","42","","","","","health","","","","","1","","2","1","5","2","4","3","1","2","1","4","3","1","6","4","7","3","2","9","8","5","1","5","7","4","9","3","8","6","2","4","1","2","6","3","7","5","2","1","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","","","","","","","","$60,001-$80,000","2yearColl"
"XP442td","0","100","138","1","1","7","7","2","3","3","6","6","3","5","6","6","3","3","5","3","3","3","3","3","6","6","6","6","6","6","6","7","3","1","1","2","1","5","7","2","7","5","4","1","2","3","","35","","","","","health","","","","","1","","1","2","5","4","3","1","2","2","1","3","4","1","4","8","9","7","6","2","5","3","1","6","9","3","7","8","4","5","2","5","1","3","4","2","7","6","1","2","Democrat","Joe Biden","Joe Biden","man","Upper Middle Class","White","","","","","","","","$140,001-$160,000","MA"
"UB581ag","0","100","161","1","1","3","3","5","2","2","6","6","2","2","5","7","3","3","2","3","6","2","5","5","6","6","6","6","6","6","6","6","2","0","1","2","2","6","4","4","6","4","1","5","2","3","","39","","","","","debt","","1","","","","","1","2","3","4","1","5","2","4","1","3","2","1","9","2","7","3","6","5","8","4","1","6","3","5","7","8","2","4","9","5","1","6","3","4","7","2","2","1","Democrat","Joe Biden","Joe Biden","man","Lower Middle Class","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"FN210ta","0","100","175","1","1","5","4","3","4","1","7","6","5","4","4","6","3","3","5","5","6","3","6","5","3","7","5","6","5","6","6","6","3","0","1","2","6","4","3","3","6","5","2","1","3","4","","23","","","","","housing","","","","1","","","2","1","4","5","1","3","2","2","1","4","3","1","8","9","2","6","3","7","4","5","1","6","4","9","5","2","8","7","3","4","1","6","7","3","2","5","1","2","Independent","Joe Biden","Joe Biden","man","Lower Middle Class","","","Black or African American","","","","","","$20,001-$40,000","4yearColl"
"FW784nw","0","100","222","1","1","6","6","2","5","5","6","5","6","3","3","6","5","5","3","5","3","5","3","5","6","6","6","7","6","7","6","6","2","1","1","2","2","5","5","5","4","5","3","1","4","2","","34","","","","","weed","","","","","","1","1","2","5","2","4","3","1","3","1","2","4","1","7","4","9","8","2","6","3","5","1","7","8","6","3","4","5","9","2","3","1","6","4","2","5","7","1","2","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$100,001-$120,000","4yearColl"
"EU409ka","0","100","129","1","1","3","3","6","1","1","6","6","2","2","6","6","2","2","3","3","6","2","6","5","6","6","6","5","5","6","5","3","2","0","2","1","3","4","3","3","4","1","2","4","5","3","","40","","","","","debt","","1","","","","","2","1","3","2","5","4","1","4","1","3","2","1","7","3","6","2","8","4","5","9","1","7","6","3","5","9","8","4","2","3","1","2","7","6","5","4","1","2","Democrat","Joe Biden","Joe Biden","man","Middle Class","White","","","","","","","","$100,001-$120,000","4yearColl"
"LR517sx","0","100","200","1","1","6","6","2","1","1","7","7","1","1","7","7","1","1","1","1","7","1","7","5","7","7","7","7","7","7","7","7","3","-1","2","1","1","5","3","1","7","4","5","2","1","3","","40","","","","","health","","","","","1","","1","2","4","1","2","3","5","4","1","3","2","1","7","4","2","8","9","5","6","3","1","4","7","9","3","2","8","6","5","6","1","2","7","4","5","3","2","1","Democrat","Joe Biden","Joe Biden","woman","Upper Middle Class","White","","","","","","","","Over $200,000","4yearColl"
"WE912hb","0","100","219","1","1","3","3","5","5","5","3","5","4","4","4","4","2","3","2","4","5","2","5","5","5","5","5","4","4","4","4","1","-3","-3","1","2","5","1","1","1","1","4","3","5","1","2","","61","","","","","debt","","1","","","","","2","1","1","5","3","4","2","2","1","4","3","1","3","2","4","7","8","6","9","5","1","4","8","6","7","5","3","2","9","7","1","2","4","6","3","5","2","1","Republican","Donald Trump","I will not vote","man","Upper Middle Class","White","","","","","","","","$140,001-$160,000","2yearColl"
"YZ595sl","0","100","232","1","1","5","4","3","3","1","6","6","4","3","5","6","2","3","3","3","6","2","7","5","6","6","6","6","7","5","6","6","2","1","1","2","5","2","1","7","2","4","5","1","3","2","","25","","","","","housing","","","","1","","","2","1","1","4","5","3","2","2","1","3","4","1","9","2","7","8","3","5","4","6","1","5","6","9","8","3","7","2","4","2","1","4","3","7","5","6","2","1","Independent","Donald Trump","Donald Trump","man","Lower Middle Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"QK505hk","0","100","218","1","1","1","5","4","1","1","7","7","1","1","7","7","2","1","1","6","7","1","7","5","7","7","7","7","7","6","7","7","3","0","1","2","7","","","","","1","4","2","3","5","","33","","","","","minwage","1","","","","","","1","2","4","3","1","5","2","2","1","4","3","1","9","5","2","6","7","3","4","8","1","9","2","5","7","8","3","4","6","4","1","7","6","5","2","3","1","2","Independent","I did not vote","I will not vote","man","Working Class","White","","","","","","","","$0-$20,000","GED"
"TK472uf","0","100","236","1","1","3","2","3","1","1","7","7","1","1","7","7","2","2","1","2","6","2","6","5","7","7","7","7","7","7","4","7","3","1","1","2","1","7","7","1","7","2","1","4","5","3","","31","","","","","debt","","1","","","","","1","2","3","5","1","2","4","3","1","4","2","1","6","2","3","5","4","7","8","9","1","6","7","9","8","5","3","2","4","2","1","6","3","7","4","5","2","1","Democrat","Joe Biden","Joe Biden","woman","Lower Middle Class","White","","","","","","","","$100,001-$120,000","4yearColl"
"TC491ar","0","100","244","1","1","7","7","1","3","4","6","6","3","3","7","7","3","4","3","3","4","4","5","5","6","7","7","7","7","7","7","7","3","0","2","1","1","6","","","6","2","3","5","1","4","","29","","","","","weed","","","","","","1","2","1","2","3","4","1","5","3","1","4","2","1","2","3","5","9","8","6","4","7","1","9","7","2","8","5","3","6","4","4","1","6","7","5","3","2","2","1","Democrat","Joe Biden","Joe Biden","woman","Working Class","White","","","","","","","","$40,001-$60,000","4yearColl"
"LY267vp","0","100","226","1","1","5","4","4","2","3","2","6","2","2","6","5","2","2","2","4","6","3","6","5","5","6","5","6","5","6","3","7","2","1","1","2","2","5","3","3","4","2","1","4","5","3","","30","","","","n/a. Thanks!","health","","","","","1","","2","1","5","1","2","4","3","4","1","2","3","1","2","9","6","7","5","8","4","3","1","4","9","2","5","7","8","6","3","7","1","4","5","2","3","6","2","1","Democrat","I did not vote","Donald Trump","woman","Working Class","White","","","","","","","","$0-$20,000","GED"
"BE754ui","0","100","210","1","1","4","4","4","3","3","5","6","3","3","6","6","3","3","3","3","5","3","5","5","5","5","5","5","5","5","5","5","2","-1","2","1","4","1","1","1","1","4","5","1","2","3","","32","","","","","housing","","","","1","","","2","1","4","1","5","2","3","2","1","4","3","1","5","9","7","2","4","3","8","6","1","3","8","5","4","9","6","7","2","2","1","7","5","4","3","6","1","2","Independent","Joe Biden","Joe Biden","woman","Upper Middle Class","White","","","Asian","","","","","$180,001-$200,000","4yearColl"
"AK641sb","0","100","225","1","1","5","5","3","5","5","5","3","5","3","4","5","3","3","3","3","5","3","6","5","5","5","5","5","5","5","5","5","2","-1","2","1","4","4","5","5","4","4","2","3","5","1","","37","","","","","minwage","1","","","","","","1","2","1","2","5","4","3","3","1","4","2","1","3","9","2","8","4","7","6","5","1","6","9","5","4","3","2","8","7","2","1","7","4","3","5","6","1","2","Independent","I did not vote","I will not vote","man","Middle Class","White","","","","","","","","Over $200,000","4yearColl"
"QW715gv","0","100","181","1","1","7","7","1","3","1","7","5","4","3","6","7","5","5","3","4","2","6","3","5","7","7","7","7","7","7","7","7","3","3","2","1","5","3","2","2","6","1","3","4","5","2","","30","","","","awesome!","weed","","","","","","1","2","1","3","4","5","1","2","3","1","2","4","1","4","7","8","5","2","6","9","3","1","6","7","5","4","2","9","3","8","2","1","7","6","3","4","5","1","2","Republican","Donald Trump","Donald Trump","man","Middle Class","White","","","","","","","","$60,001-$80,000","MA"
"JO222wu","0","100","110","1","1","5","4","3","1","1","7","7","1","1","7","7","1","1","1","1","7","1","7","5","5","7","6","7","7","6","6","6","2","0","2","1","2","5","5","","","4","5","2","3","1","","30","","","","","housing","","","","1","","","2","1","1","2","3","5","4","3","1","2","4","1","5","9","4","8","3","2","7","6","1","7","4","5","2","6","9","3","8","3","1","7","5","6","2","4","1","2","Democrat","Joe Biden","Joe Biden","woman","Middle Class","White","","","","","","","","$100,001-$120,000","MA"
