"PID","zs_class","SDO","zsm","lnktfate","soli","support","impact","impact_uc","impact_wc","zs_class_1","zs_class_2","zs_class_3R","SDO_1","SDO_2","SDO_3R","SDO_4R","SDO_5","SDO_6","SDO_7R","SDO_8R","zsm_1","zsm_2","zsm_3","zsm_4","zsm_5R","zsm_6","zsm_7R","soli_1","soli_2","soli_3","soli_4","soli_5","soli_6","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_id","vote_2020","vote_2024","policy","blockorder","soli_first","att_1","age","gender","race","edu","income","class","feedback"
"RQ239ze",5.66666666666667,1.75,3.85714285714286,5,5,6,2,0,2,6,5,6,2,2,2,1,2,2,2,1,4,4,3,4,4,4,4,5,5,5,5,5,5,1,7,5,5,5,"Democrat","I did not vote","Jill Stein","health","wordlviews_first",0,1,23,"woman","White","4yearColl","$40,001-$60,000","Lower Middle Class",NA
"HP700yz",6.33333333333333,1,1.57142857142857,6,6.33333333333333,7,3,0,3,7,5,7,1,1,1,1,1,1,1,1,1,1,2,2,1,1,3,7,6,6,6,7,6,1,6,7,1,7,"Democrat","Joe Biden","Joe Biden","housing","wordlviews_first",1,1,43,"man","multiracial","MA","$40,001-$60,000","Middle Class","thank you for the study."
"PQ346ge",7,1,2.28571428571429,5,7,7,1,0,1,7,7,7,1,1,1,1,1,1,1,1,4,1,1,4,4,1,1,7,7,7,7,7,7,3,5,7,6,NA,"Independent","Joe Biden","I will not vote","minwage","wordlviews_first",0,1,29,"woman","Black or African American","MA","$20,001-$40,000","Lower Middle Class",NA
"UX891dl",6.66666666666667,3.375,6,7,7,3,0,-1,1,7,7,6,5,3,3,2,5,3,4,2,7,7,6,5,5,7,5,7,7,7,7,7,7,4,1,1,1,1,"Republican","Donald Trump","Donald Trump","housing","policy_first",1,1,35,"woman","White","4yearColl","$60,001-$80,000","Middle Class",NA
"CL634lt",1,1.625,1.42857142857143,7,7,6,3,0,3,1,1,1,2,3,1,2,1,2,1,1,1,1,1,4,1,1,1,7,7,7,7,7,7,6,5,NA,NA,NA,"Republican","Donald Trump","Donald Trump","health","policy_first",0,1,46,"woman","White","4yearColl","$60,001-$80,000","Middle Class","none"
"WW880mo",3,5.375,3,4,4.66666666666667,2,-3,-1,-2,3,3,3,5,3,5,3,7,7,7,6,3,3,3,4,3,3,2,5,5,4,5,5,4,7,1,1,4,1,"Republican","I did not vote","Donald Trump","housing","policy_first",0,1,51,"woman","White","4yearColl","$20,001-$40,000","Working Class",NA
"IE501xn",5.33333333333333,2,3,5,5.83333333333333,6,2,0,2,5,5,6,2,2,1,1,7,1,1,1,3,3,2,4,3,3,3,5,6,6,6,6,6,1,7,6,1,4,"Democrat","Joe Biden","Joe Biden","housing","policy_first",0,1,45,"woman","White","MA","$60,001-$80,000","Middle Class",NA
"EC969vb",6,2.125,2.57142857142857,7,6.33333333333333,7,4,2,2,6,6,6,1,1,1,2,5,4,2,1,4,1,2,5,1,1,4,6,7,7,6,6,6,3,5,2,4,6,"Democrat","Joe Biden","Joe Biden","weed","policy_first",0,1,31,"man","Hispanic, Latino, or Spanish origin","4yearColl","$40,001-$60,000","Working Class",NA
"LF043vx",4.33333333333333,4.25,5.14285714285714,5,4.33333333333333,5,2,1,1,5,5,3,5,5,4,5,5,5,4,1,5,6,5,6,3,6,5,3,5,3,5,5,5,3,2,1,6,5,"Republican","Joe Biden","Donald Trump","health","wordlviews_first",0,1,30,"man","Asian","4yearColl","$20,001-$40,000","Middle Class",NA
"BO178ch",7,3.625,2,5,5,7,3,0,3,7,7,7,6,5,2,5,3,3,3,2,2,2,2,3,1,2,2,2,5,5,6,6,6,3,6,5,2,5,"Democrat","Joe Biden","Joe Biden","debt","policy_first",0,1,43,"man","Asian","4yearColl","$140,001-$160,000","Middle Class",NA
"PN184rs",4.66666666666667,2.875,3,5,5.33333333333333,1,-1,1,-2,5,4,5,4,2,3,3,3,2,3,3,3,3,3,3,3,3,3,5,6,6,6,4,5,4,1,4,4,4,"Independent","I did not vote","I will not vote","climate","wordlviews_first",0,1,41,"woman","White","2yearColl","$60,001-$80,000","Middle Class",NA
"TE509bt",5,2.125,2.28571428571429,5,6,5,-1,-2,1,5,4,6,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,6,6,6,6,6,6,1,2,5,2,1,"Democrat","Joe Biden","Joe Biden","weed","policy_first",0,1,39,"woman","White","2yearColl","$100,001-$120,000","Middle Class","thank you"
"CS533cl",5,4,3.28571428571429,4,4.5,5,1,0,1,5,5,5,4,3,4,3,5,5,4,4,3,3,3,3,5,3,3,5,5,4,5,5,3,4,2,2,4,4,"Independent","Donald Trump","Robert F. Kennedy Jr.","housing","wordlviews_first",0,1,62,"woman","White","MA","$120,001-$140,000","Middle Class",NA
"DC374rp",1,7,3,4,2.33333333333333,1,0,0,0,1,1,1,7,7,7,7,7,7,7,7,2,3,5,2,2,4,3,3,2,1,2,4,2,7,2,1,7,1,"Independent","Donald Trump","Donald Trump","debt","policy_first",0,1,26,"man","White","4yearColl","$60,001-$80,000","Middle Class","Thank you."
"CF777yk",4.66666666666667,3,4.57142857142857,6,5.16666666666667,5,2,0,2,5,5,4,3,3,3,3,3,4,3,2,5,5,4,4,5,4,5,5,5,5,6,5,5,NA,NA,3,NA,NA,"Independent","Joe Biden","Joe Biden","housing","policy_first",0,1,27,"man","Asian","4yearColl","$60,001-$80,000","Working Class",NA
"KO857tf",3,4,4.42857142857143,6,6,3,0,-1,1,3,3,3,5,5,3,3,5,5,3,3,5,5,3,5,5,5,3,6,6,6,6,6,6,5,NA,NA,NA,NA,"Republican","Donald Trump","Donald Trump","minwage","wordlviews_first",1,1,27,"woman","White","4yearColl","$40,001-$60,000","Lower Middle Class",NA
"HR550af",4.66666666666667,3.125,3.28571428571429,6,6.16666666666667,6,3,2,1,5,3,6,5,5,3,1,3,2,3,3,3,5,2,3,3,5,2,6,6,6,6,7,6,3,4,NA,NA,NA,"Independent","Donald Trump","Other","housing","wordlviews_first",0,1,22,"woman","White","GED","$80,001-$100,000","Middle Class","Have a nice day!"
"OX647sq",4.33333333333333,1,3,6,7,7,3,0,3,5,4,4,1,1,1,1,1,1,1,1,3,3,2,4,3,3,3,7,7,7,7,7,7,1,6,7,2,7,"Democrat","Joe Biden","Joe Biden","minwage","wordlviews_first",0,1,37,"woman","Black or African American","4yearColl","$20,001-$40,000","Working Class",NA
"AG424tr",4,2.75,1.42857142857143,7,5,4,1,0,1,4,4,4,2,2,1,1,1,7,7,1,1,1,1,4,1,1,1,5,4,5,5,6,5,5,1,1,7,1,"Independent","Donald Trump","Donald Trump","housing","wordlviews_first",0,1,60,"woman","White","4yearColl","$140,001-$160,000","Upper Middle Class",NA
"DW479xi",3.66666666666667,3.625,3,5,5,4,1,0,1,4,3,4,3,4,3,4,5,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,NA,NA,NA,NA,NA,"Independent","I did not vote","Other","weed","policy_first",0,1,61,"woman","White","4yearColl",NA,"Middle Class",NA
"HT680ou",6.33333333333333,1,1.14285714285714,7,6.66666666666667,7,3,0,3,7,6,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,7,7,7,7,6,6,1,5,4,2,6,"Democrat","Joe Biden","Joe Biden","health","policy_first",0,1,42,"man","White","2yearColl","$60,001-$80,000","Middle Class",NA
"UB581ag",3,2,2.57142857142857,6,6,6,2,0,2,3,3,3,2,2,2,2,2,2,3,1,3,3,2,3,2,2,3,6,6,6,6,6,6,2,6,4,4,6,"Democrat","Joe Biden","Joe Biden","debt","wordlviews_first",0,1,39,"man","multiracial","4yearColl","$60,001-$80,000","Lower Middle Class",NA
"FN210ta",4.66666666666667,2.875,3.28571428571429,6,5.33333333333333,6,3,0,3,5,4,5,4,1,1,2,5,4,4,2,3,3,5,5,2,3,2,3,7,5,6,5,6,6,4,3,3,6,"Independent","Joe Biden","Joe Biden","housing","policy_first",0,1,23,"man","Black or African American","4yearColl","$20,001-$40,000","Lower Middle Class",NA
"FW784nw",6,3.875,4.71428571428571,6,6.33333333333333,6,3,1,2,6,6,6,5,5,2,3,6,3,5,2,5,5,3,5,5,5,5,6,6,6,7,6,7,2,5,5,5,4,"Democrat","Joe Biden","Joe Biden","weed","wordlviews_first",0,1,34,"woman","White","4yearColl","$100,001-$120,000","Middle Class",NA
"EU409ka",2.66666666666667,1.75,2.28571428571429,5,5.66666666666667,3,2,0,2,3,3,2,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,6,6,6,5,5,6,3,4,3,3,4,"Democrat","Joe Biden","Joe Biden","debt","policy_first",0,1,40,"man","White","4yearColl","$100,001-$120,000","Middle Class",NA
"LR517sx",6,1,1,7,7,7,2,-1,3,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,5,3,1,7,"Democrat","Joe Biden","Joe Biden","health","wordlviews_first",0,1,40,"woman","White","4yearColl","Over $200,000","Upper Middle Class",NA
"WE912hb",3,4.25,2.71428571428571,4,4.5,1,-6,-3,-3,3,3,3,5,5,5,3,4,4,4,4,2,3,2,4,3,2,3,5,5,5,4,4,4,5,1,1,1,1,"Republican","Donald Trump","I will not vote","debt","policy_first",0,1,61,"man","White","2yearColl","$140,001-$160,000","Upper Middle Class",NA
"YZ595sl",4.66666666666667,2.5,2.28571428571429,6,6,6,3,1,2,5,4,5,3,1,2,2,4,3,3,2,2,3,3,3,2,2,1,6,6,6,6,7,5,5,2,1,7,2,"Independent","Donald Trump","Donald Trump","housing","policy_first",0,1,25,"man","White","4yearColl","$40,001-$60,000","Lower Middle Class",NA
"QK505hk",3.33333333333333,1,1.85714285714286,7,6.83333333333333,7,3,0,3,1,5,4,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,7,7,7,7,7,6,7,NA,NA,NA,NA,"Independent","I did not vote","I will not vote","minwage","wordlviews_first",0,1,33,"man","White","GED","$0-$20,000","Working Class",NA
"TK472uf",3.33333333333333,1,1.85714285714286,4,7,7,4,1,3,3,2,5,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,7,7,7,7,7,7,1,7,7,1,7,"Democrat","Joe Biden","Joe Biden","debt","wordlviews_first",0,1,31,"woman","White","4yearColl","$100,001-$120,000","Lower Middle Class",NA
"TC491ar",7,2.375,3.42857142857143,7,6.83333333333333,7,3,0,3,7,7,7,3,4,2,2,3,3,1,1,3,4,3,3,4,4,3,6,7,7,7,7,7,1,6,NA,NA,6,"Democrat","Joe Biden","Joe Biden","weed","policy_first",1,1,29,"woman","White","4yearColl","$40,001-$60,000","Working Class",NA
"LY267vp",4.33333333333333,2.75,2.42857142857143,3,5.5,7,3,1,2,5,4,4,2,3,6,2,2,2,2,3,2,2,2,4,2,3,2,5,6,5,6,5,6,2,5,3,3,4,"Democrat","I did not vote","Donald Trump","health","policy_first",0,1,30,"woman","White","GED","$0-$20,000","Working Class","n/a. Thanks!"
"BE754ui",4,2.625,3,5,5,5,1,-1,2,4,4,4,3,3,3,2,3,3,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,4,1,1,1,1,"Independent","Joe Biden","Joe Biden","housing","policy_first",0,1,32,"woman","multiracial","4yearColl","$180,001-$200,000","Upper Middle Class",NA
"AK641sb",5,4.125,2.85714285714286,5,5,5,1,-1,2,5,5,5,5,5,3,5,5,3,4,3,3,3,3,3,3,3,2,5,5,5,5,5,5,4,4,5,5,4,"Independent","I did not vote","I will not vote","minwage","wordlviews_first",0,1,37,"man","White","4yearColl","Over $200,000","Middle Class",NA
"QW715gv",7,2.25,4.85714285714286,7,7,7,6,3,3,7,7,7,3,1,1,3,4,3,2,1,5,5,3,4,6,6,5,7,7,7,7,7,7,5,3,2,2,6,"Republican","Donald Trump","Donald Trump","weed","policy_first",1,1,30,"man","White","MA","$60,001-$80,000","Middle Class","awesome!"
"JO222wu",4.66666666666667,1,1,6,6.33333333333333,6,2,0,2,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,6,7,7,6,2,5,5,NA,NA,"Democrat","Joe Biden","Joe Biden","housing","policy_first",0,1,30,"woman","White","MA","$100,001-$120,000","Middle Class",NA
"IT733nz",7,1,1.71428571428571,7,7,7,3,0,3,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,7,7,7,7,7,7,1,7,7,1,7,"Democrat","Joe Biden","Joe Biden","housing","wordlviews_first",0,1,27,"woman","White","GED","$20,001-$40,000","Lower Class",NA
"VD400kn",7,2.125,3.57142857142857,3,7,7,2,0,2,7,7,7,2,1,2,2,4,2,2,2,3,4,3,5,3,4,3,7,7,7,7,7,7,2,6,6,1,6,"Democrat","Joe Biden","Joe Biden","minwage","policy_first",0,1,34,"man","White","MA","$160,001-$180,000","Upper Middle Class",NA
"YN046ip",4.66666666666667,1.125,2.14285714285714,7,6.66666666666667,7,3,0,3,6,3,5,1,1,1,2,1,1,1,1,2,3,2,3,1,2,2,6,7,6,7,7,7,1,5,5,6,6,"Democrat","I did not vote","Jill Stein","minwage","policy_first",0,1,18,"man","White","noHS","$160,001-$180,000","Middle Class",NA
"JB306xy",6,1,2.85714285714286,5,5.66666666666667,7,2,-1,3,6,6,6,1,1,1,1,1,1,1,1,3,3,2,3,3,3,3,5,6,5,6,6,6,1,6,6,1,6,"Democrat","Joe Biden","Joe Biden","minwage","policy_first",0,1,52,"woman","White","4yearColl","$60,001-$80,000","Lower Middle Class",NA
"IE058gd",5,4.25,4.28571428571429,5,5.33333333333333,6,4,2,2,6,5,4,4,6,4,3,5,6,2,4,6,5,5,4,2,4,4,4,6,5,5,6,6,4,6,7,6,3,"Democrat","Joe Biden","Joe Biden","health","policy_first",0,1,52,"man","White","4yearColl","$80,001-$100,000","Upper Middle Class","none"
"KI365sw",4,2.375,5.57142857142857,4,5.83333333333333,5,3,0,3,4,4,4,5,4,1,3,2,1,2,1,6,6,4,5,6,6,6,6,6,5,6,6,6,4,4,NA,4,NA,"Democrat","Donald Trump","I will not vote","debt","wordlviews_first",1,1,22,"man","multiracial","GED","$0-$20,000","Lower Class",NA
"AK098gw",5.33333333333333,1.875,4.14285714285714,6,6.33333333333333,6,2,0,2,6,4,6,3,1,1,1,3,2,2,2,3,5,3,5,5,4,4,6,6,6,6,7,7,1,5,4,5,4,"Democrat","Joe Biden","Other","housing","policy_first",1,1,36,"woman","White","4yearColl","$100,001-$120,000","Middle Class",NA
"SM116cq",5,1,1,7,4.5,7,6,3,3,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,4,4,7,1,NA,NA,NA,NA,NA,"Republican","Donald Trump","I will not vote","minwage","wordlviews_first",0,1,51,"woman","White","GED","$40,001-$60,000","Lower Class",NA
"QF554fa",4.66666666666667,2.5,3.42857142857143,6,5.66666666666667,6,-1,-2,1,5,4,5,2,1,1,4,4,2,3,3,2,4,2,5,4,3,4,4,6,6,6,6,6,4,3,6,3,NA,"Democrat","Joe Biden","Donald Trump","housing","wordlviews_first",1,1,25,"man","Asian","4yearColl","$80,001-$100,000","Middle Class",NA
"PG671oc",4.33333333333333,1.125,2.42857142857143,6,6.16666666666667,7,3,0,3,5,5,3,1,1,1,1,1,1,2,1,2,2,3,4,2,2,2,6,6,6,6,6,7,1,4,4,4,5,"Independent","I did not vote","Other","health","policy_first",0,1,29,"woman","White","MA","$100,001-$120,000","Middle Class",NA
"GC696tv",4,1.125,3.14285714285714,6,6.16666666666667,7,2,0,2,4,4,4,2,1,1,1,1,1,1,1,4,3,3,4,3,3,2,6,6,6,5,7,7,1,5,4,4,5,"Independent","Joe Biden","Jill Stein","housing","policy_first",1,1,31,"woman","Asian","4yearColl","$80,001-$100,000","Working Class",NA
"FD941tz",4,4,4.14285714285714,7,6.83333333333333,4,3,1,2,4,4,4,6,5,2,2,6,5,3,3,4,5,5,4,4,5,2,7,7,7,6,7,7,7,1,1,4,1,"Republican","Donald Trump","Donald Trump","climate","wordlviews_first",0,1,46,"woman","multiracial","GED","$40,001-$60,000","Working Class",NA
"BS182eh",4.66666666666667,3.625,5.57142857142857,6,5.5,3,1,2,-1,6,2,6,5,5,2,3,6,3,3,2,6,6,5,5,6,6,5,6,5,6,5,6,5,2,3,2,2,4,"Democrat","Joe Biden","Joe Biden","health","wordlviews_first",1,1,34,"man","Black or African American","MA","$80,001-$100,000","Middle Class",NA
"TU947gr",7,1,4.71428571428571,7,5.33333333333333,6,0,-1,1,7,7,7,1,1,1,1,1,1,1,1,5,5,3,5,5,5,5,6,5,5,4,7,5,4,4,4,NA,4,"Independent","Joe Biden","Other","climate","wordlviews_first",0,1,51,"man","White","MA","$40,001-$60,000","Middle Class","thank you"
"NE501ai",2,3.25,1.71428571428571,5,4.33333333333333,1,-3,-1,-2,2,2,2,1,1,1,1,5,6,6,5,1,2,2,2,2,1,2,5,4,5,4,4,4,7,2,1,5,3,"Republican","Donald Trump","Donald Trump","debt","policy_first",0,1,52,"woman","White","4yearColl","$120,001-$140,000","Upper Middle Class",NA
"ZU375hj",3.33333333333333,1,2.14285714285714,7,5.83333333333333,7,4,1,3,3,4,3,1,1,1,1,1,1,1,1,2,2,4,3,1,2,1,4,7,5,6,6,7,1,6,6,2,6,"Democrat","Joe Biden","Joe Biden","debt","policy_first",0,1,35,"man","White","4yearColl","$140,001-$160,000","Upper Middle Class",NA
"XH336jk",4.66666666666667,3,3.85714285714286,6,6.16666666666667,6,2,1,1,6,6,2,2,2,2,6,2,2,6,2,6,5,3,3,5,3,2,6,6,6,7,6,6,6,1,5,4,2,"Democrat","Donald Trump","Joe Biden","climate","policy_first",0,1,25,"man","White","MA","$80,001-$100,000","Middle Class",NA
"IT987ko",4,1,2.28571428571429,7,7,7,3,0,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,7,7,7,7,7,7,7,1,1,1,1,"Republican","Donald Trump","Donald Trump","climate","policy_first",1,1,56,"woman","White","GED","$40,001-$60,000","Lower Middle Class","No comments."
"QO230ji",4,4,4,4,5,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,7,5,4,4,4,"Democrat","Joe Biden","Joe Biden","debt","wordlviews_first",0,1,26,"man","White","MA","$80,001-$100,000","Lower Middle Class",NA
"XX999bi",4.66666666666667,1.875,2,6,6.16666666666667,6,1,-2,3,5,3,6,2,3,2,1,2,2,2,1,2,2,2,2,3,2,1,6,7,6,7,5,6,2,2,4,2,3,"Independent","Donald Trump","Joe Biden","minwage","policy_first",0,1,30,"man","White","4yearColl","$80,001-$100,000","Middle Class",NA
"TK938jz",5.66666666666667,1.5,2.14285714285714,6,6.66666666666667,6,2,0,2,6,6,5,2,1,1,1,3,1,2,1,1,2,2,5,2,1,2,6,7,6,7,7,7,2,3,2,4,5,"Democrat","I did not vote","I will not vote","housing","wordlviews_first",1,1,33,"man","Hispanic, Latino, or Spanish origin","GED","$60,001-$80,000","Middle Class",NA
"NG511oa",1,1.625,1.42857142857143,4,6.33333333333333,1,-4,-2,-2,1,1,1,1,1,1,1,1,5,2,1,1,1,1,4,1,1,1,6,7,7,7,7,4,3,1,1,7,1,"Republican","Donald Trump","I will not vote","climate","wordlviews_first",0,1,47,"man","White","4yearColl","$80,001-$100,000","Middle Class",NA
"JW009xm",4.66666666666667,3,3.85714285714286,4,5.83333333333333,6,2,0,2,5,5,4,4,4,2,2,3,4,2,3,4,4,4,3,4,4,4,6,6,6,6,5,6,5,2,5,5,5,"Republican","Donald Trump","Donald Trump","minwage","wordlviews_first",0,1,46,"man","Asian","PHD","$100,001-$120,000","Upper Middle Class",NA
"UZ773vw",5.66666666666667,1.125,5,6,6.5,6,3,1,2,5,6,6,2,1,1,1,1,1,1,1,5,6,3,5,5,6,5,7,7,6,5,7,7,1,5,6,5,5,"Democrat","Joe Biden","Joe Biden","climate","policy_first",0,1,33,"woman","White","GED","$40,001-$60,000","Working Class",NA
"FG636hy",5,7,4.14285714285714,6,6.16666666666667,4,-1,-1,0,5,5,5,7,7,7,7,7,7,7,7,4,4,4,6,3,5,3,6,6,6,6,7,6,2,1,1,1,1,"Independent","Donald Trump","Donald Trump","climate","wordlviews_first",0,1,36,"man","White","GED","$20,001-$40,000","Working Class","None"
"CP369bx",5,2.75,3,5,5.33333333333333,3,-1,-2,1,6,3,6,5,2,2,3,3,3,3,1,3,3,2,4,3,3,3,5,6,4,6,6,5,5,3,NA,5,5,"Republican","Joe Biden","Jill Stein","minwage","wordlviews_first",0,1,32,"woman","White","2yearColl","$60,001-$80,000","Lower Middle Class",NA
"BV276ul",7,1.75,4.57142857142857,7,7,6,2,0,2,7,7,7,1,1,1,1,7,1,1,1,3,7,5,3,4,5,5,7,7,7,7,7,7,3,4,2,2,3,"Independent","I did not vote","I will not vote","minwage","wordlviews_first",1,1,41,"man","multiracial","4yearColl","$20,001-$40,000","Working Class",NA
"JA133dh",4,1,4,5,7,6,0,0,0,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,7,7,7,7,7,7,1,4,4,1,2,"Democrat","Joe Biden","Robert F. Kennedy Jr.","weed","wordlviews_first",0,1,41,"woman","White","4yearColl","$20,001-$40,000","Lower Middle Class",NA
"DU364ba",5.66666666666667,2.875,3,5,5,7,3,0,3,6,5,6,2,2,2,1,4,4,4,4,2,3,4,3,4,2,3,5,6,5,5,4,5,1,6,6,1,5,"Democrat","I did not vote","I will not vote","health","policy_first",0,1,42,"man","White","4yearColl","$40,001-$60,000","Lower Middle Class",NA
"UP800wb",4.66666666666667,2.625,2.14285714285714,6,6,7,6,3,3,5,4,5,3,4,2,2,2,3,3,2,2,3,1,2,2,3,2,6,6,6,6,6,6,3,1,1,2,1,"Independent","Donald Trump","Robert F. Kennedy Jr.","debt","wordlviews_first",0,1,32,"man","White","4yearColl","$120,001-$140,000","Middle Class",NA
"XL782lj",5,2.25,2.14285714285714,6,6.83333333333333,7,3,1,2,6,4,5,2,2,1,1,6,3,1,2,1,2,2,2,2,3,3,7,7,7,7,7,6,4,5,6,4,5,"Democrat","Joe Biden","Joe Biden","weed","policy_first",0,1,35,"woman","White","2yearColl","$40,001-$60,000","Working Class",NA
"XO697as",6,2.875,4.28571428571429,5,6,2,1,3,-2,6,6,6,4,1,1,1,4,4,4,4,5,5,4,3,5,5,3,5,6,6,6,6,7,5,1,1,1,1,"Republican","Donald Trump","Donald Trump","climate","policy_first",0,1,43,"woman","White","MA","$100,001-$120,000","Upper Middle Class",NA
"DI358zh",1.33333333333333,2.875,2.85714285714286,1,6.66666666666667,1,1,0,1,1,1,2,5,1,2,3,3,4,4,1,1,5,1,4,2,6,1,7,7,7,6,6,7,7,1,1,5,1,"Republican","Donald Trump","Donald Trump","debt","wordlviews_first",0,1,51,"man","White","GED","$20,001-$40,000","Working Class",NA
"DB546ev",5.66666666666667,1.75,2.14285714285714,6,6.5,2,-2,0,-2,6,5,6,3,2,1,2,2,1,2,1,2,2,2,3,2,2,2,7,5,7,7,7,6,5,1,1,1,1,"Republican","Donald Trump","Donald Trump","health","policy_first",1,1,32,"man","White","GED","$20,001-$40,000","Working Class",NA
"WY928fe",5.66666666666667,2.375,3.71428571428571,6,6,6,1,-1,2,6,5,6,3,2,2,2,2,3,2,3,2,6,2,2,6,6,2,6,6,6,6,6,6,5,2,2,1,4,"Republican","Donald Trump","Robert F. Kennedy Jr.","housing","wordlviews_first",0,1,33,"man","White","MA","$60,001-$80,000","Middle Class",NA
"HH314hw",1,1,1,4,5.5,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,4,1,1,5,2,1,3,"Democrat","Joe Biden","Joe Biden","climate","policy_first",0,1,43,"man","White","MA","$80,001-$100,000","Middle Class",NA
"UZ840gt",6,2,3.85714285714286,7,6,7,4,1,3,6,6,6,2,2,2,2,2,2,2,2,4,5,2,4,4,4,4,6,6,6,6,6,6,1,4,NA,3,4,"Independent","Joe Biden","Other","weed","wordlviews_first",0,1,31,"man","multiracial","4yearColl","$80,001-$100,000","Middle Class",NA
